Order ID,Date,Time,Item,Category,Quantity,Unit Price,Total Sales,Payment Method,Rating,Datetime
1,2025-10-23,08:55:00.974478,Latte,Coffee,3,4.0,12.0,Cash,5,2025-10-23 08:55:00.974478
2,2025-08-26,07:57:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,5,2025-08-26 07:57:00.974478
3,2025-08-17,10:17:00.974478,Espresso,Coffee,1,2.5,2.5,Card,5,2025-08-17 10:17:00.974478
4,2025-07-27,12:58:00.974478,Latte,Coffee,1,4.0,4.0,Card,4,2025-07-27 12:58:00.974478
5,2025-08-27,08:02:00.974478,Croissant,Bakery,1,3.5,3.5,Card,4,2025-08-27 08:02:00.974478
6,2025-12-13,10:51:00.974478,Croissant,Bakery,1,3.5,3.5,Card,4,2025-12-13 10:51:00.974478
7,2025-10-24,09:28:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,5,2025-10-24 09:28:00.974478
8,2025-09-29,10:48:00.974478,Scone,Bakery,1,3.0,3.0,Cash,4,2025-09-29 10:48:00.974478
9,2025-12-08,06:42:00.974478,Cappuccino,Coffee,2,3.75,7.5,Mobile Payment,5,2025-12-08 06:42:00.974478
10,2026-01-05,08:12:00.974478,Green Tea,Tea,1,2.75,2.75,Cash,4,2026-01-05 08:12:00.974478
11,2026-01-06,07:27:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2026-01-06 07:27:00.974478
12,2025-09-21,08:36:00.974478,Green Tea,Tea,1,2.75,2.75,Card,5,2025-09-21 08:36:00.974478
13,2025-12-27,10:28:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Mobile Payment,5,2025-12-27 10:28:00.974478
14,2025-10-01,14:09:00.974478,Espresso,Coffee,2,2.5,5.0,Card,5,2025-10-01 14:09:00.974478
15,2025-11-24,07:20:00.974478,Americano,Coffee,1,3.0,3.0,Card,4,2025-11-24 07:20:00.974478
16,2025-12-01,08:51:00.974478,Herbal Tea,Tea,1,3.0,3.0,Cash,4,2025-12-01 08:51:00.974478
17,2026-01-05,08:47:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2026-01-05 08:47:00.974478
18,2025-11-29,07:29:00.974478,Mocha,Coffee,3,4.5,13.5,Cash,4,2025-11-29 07:29:00.974478
19,2025-12-01,00:07:00.974478,Veggie Wrap,Sandwich,2,7.0,14.0,Cash,5,2025-12-01 00:07:00.974478
